x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,peak_position,peak_position2,peak_width,peak_width2,peak_amplitude,peak_amplitude2,peak_height,peak_height2,rsq_gaussian_fit,SM,AP,area_fit,area_peaks,bg_c,FailReason
54,22,1.248447,0.215778,0.004386,0.3572971703134299,174.98092293661554,354.98092293661557,18.642302239680458,18.642302239680458,15.37236378730603,15.37236378730603,0.3289661215455861,0.3289661215455861,0.8857524381053945,0.25430872207140565,0.18686015958531668,157.34085170070108,29.40073665808265,0.35538920845171784,
55,22,1.377784,0.248906,0.006038,0.4918742166786342,174.98092293661554,354.98092293661557,15.999378152999414,15.999378152999414,18.576728543148736,18.576728543148736,0.4632081557502777,0.4632081557502777,0.9160892651283077,0.3214529754077792,0.2105885185147767,168.7352902967992,35.53371480476372,0.37000437636676525,
56,22,1.388839,0.251737,0.006167,0.5023829569819703,174.98092293661554,354.98092293661557,15.637214700213907,15.637214700213907,18.489320126053496,18.489320126053496,0.47170622617715835,0.47170622617715835,0.8827825449715848,0.32529845924343387,0.20947978811240034,168.72231807263884,35.3439154396894,0.370495562869304,
57,22,1.269737,0.221231,0.003887,0.316647081853238,172.98138486200742,352.9813848620074,14.643893146266006,14.643893146266006,17.64050934716589,17.64050934716589,0.4805788294211657,0.4805788294211657,0.8897951408291705,0.3513940879802327,0.2161277693446155,156.1417875640788,33.74657624770518,0.3399866981010379,
58,22,1.196639,0.202508,0.003889,0.3168100080594913,355.02249622188657,175.02249622188657,14.470701964329953,14.470701964329953,15.991439297025279,15.991439297025279,0.4408674351653507,0.4408674351653507,0.8726186015659789,0.33664856486450934,0.20474484838174803,148.9470398601831,30.49613909308337,0.3290302799086104,
0,23,0.433462,0.007029,,,,,,,,,,,,,,,,,nan_exist
1,23,0.438506,0.008321,,,,,,,,,,,,,,,,,nan_exist
2,23,0.438848,0.008408,,,,,,,,,,,,,,,,,nan_exist
3,23,0.439758,0.008641,,,,,,,,,,,,,,,,,nan_exist
4,23,0.44062,0.008862,,,,,,,,,,,,,,,,,nan_exist
5,23,0.436356,0.00777,,,,,,,,,,,,,,,,,nan_exist
6,23,0.432413,0.00676,,,,,,,,,,,,,,,,,nan_exist
7,23,0.450459,0.011382,,,,,,,,,,,,,,,,,nan_exist
8,23,0.486681,0.02066,,,,,,,,,,,,,,,,,nan_exist
9,23,0.537258,0.033615,,,,,,,,,,,,,,,,,nan_exist
10,23,0.94899,0.139075,,,,,,,,,,,,,,,,,nan_exist
11,23,1.903232,0.383493,,,,,,,,,,,,,,,,,nan_exist
12,23,2.592402,0.560016,,,,,,,,,,,,,,,,,nan_exist
13,23,3.114512,0.693748,,,,,,,,,,,,,,,,,nan_exist
14,23,3.578245,0.812528,,,,,,,,,,,,,,,,,nan_exist
15,23,4.010532,0.923253,,,,,,,,,,,,,,,,,nan_exist
16,23,4.182755,0.967366,,,,,,,,,,,,,,,,,nan_exist
17,23,4.181466,0.967036,0.010515,0.856584529376588,341.0257296996299,161.0257296996299,8.363816677840386,8.363816677840386,9.393110634763252,9.393110634763252,0.44803815303888156,0.44803815303888156,0.09952450279679836,0.07986504426263523,0.030138060388382466,526.8518038328025,15.878291479641234,1.4193708676476702,
18,23,4.096484,0.945269,,,,,,,,,,,,,,,,,nan_exist
19,23,3.979388,0.915276,0.012102,0.985866474038561,3.020648520318958,183.02064852031896,25.65123835809385,25.65123835809385,50.83049576208126,50.83049576208126,0.7905440513308206,0.7905440513308206,0.8871859334411446,0.19130286374275063,0.18725935707601293,521.9288530082783,97.73606145375106,1.1783133098736869,
20,23,3.877259,0.889117,0.012305,1.0,9.01926274414324,189.01926274414325,24.124269784605453,24.124269784605453,42.311486878551996,42.311486878551996,0.6997037097171104,0.6997037097171104,0.8073159383235851,0.174440466821136,0.1599435271780687,506.1605954487058,80.95711095461752,1.1811207902613563,
21,23,3.921836,0.900535,,,,,,,,,,,,,,,,,nan_exist
22,23,4.052067,0.933892,0.009388,0.7647756121528682,11.018800818751352,191.01880081875134,5.300870622065444,5.300870622065444,12.559304192543193,12.559304192543193,0.9452102894139636,0.9452102894139636,0.2557306440998146,0.14569021607331917,0.04425165405338279,502.15380995374346,22.221136679661186,1.3331463146502285,
23,23,3.780209,0.864259,,,,,,,,,,,,,,,,,nan_exist
24,23,3.715712,0.847739,,,,,,,,,,,,,,,,,nan_exist
25,23,3.752081,0.857054,0.005762,0.4693904002156823,9.01926274414324,189.01926274414325,28.699380948716154,28.699380948716154,35.748605427958424,35.748605427958424,0.4969316305492907,0.4969316305492907,0.7661081191421595,0.12281297534514221,0.1342867524882493,507.2190795063509,68.11280298698699,1.219739656998233,
26,23,3.582414,0.813596,0.008296,0.6758179035385805,15.017876967967549,195.01787696796754,7.990663485351807,7.990663485351807,18.242612899826177,18.242612899826177,0.910781639607093,0.910781639607093,0.6994979321032506,0.17294379478254343,0.06933893561933219,485.4031650218219,33.65733880886819,1.2548495172582048,
27,23,3.014083,0.668025,,,,,,,,,,,,,,,,,nan_exist
28,23,2.360112,0.500518,,,,,,,,,,,,,,,,,nan_exist
29,23,1.922266,0.388368,,,,,,,,,,,,,,,,,nan_exist
30,23,1.560672,0.29575,,,,,,,,,,,,,,,,,nan_exist
31,23,1.450733,0.267591,,,,,,,,,,,,,,,,,nan_exist
32,23,1.904469,0.38381,0.002374,0.1933934068226362,11.018800818751352,191.01880081875134,5.526341336588532,5.526341336588532,4.591204656822431,4.591204656822431,0.331435491227384,0.331435491227384,0.35458544525078206,0.10223460348764224,0.03016833613854934,255.56889489007224,7.710088327601284,0.6884966848957527,
33,23,2.001322,0.408618,,,,,,,,,,,,,,,,,nan_exist
34,23,1.882052,0.378068,,,,,,,,,,,,,,,,,nan_exist
35,23,1.986458,0.404811,,,,,,,,,,,,,,,,,nan_exist
36,23,1.980368,0.403251,,,,,,,,,,,,,,,,,nan_exist
37,23,1.875833,0.376475,,,,,,,,,,,,,,,,,nan_exist
38,23,2.01758,0.412782,,,,,,,,,,,,,,,,,nan_exist
39,23,1.989015,0.405465,,,,,,,,,,,,,,,,,nan_exist
40,23,1.968774,0.400281,,,,,,,,,,,,,,,,,nan_exist
41,23,2.010723,0.411026,0.003481,0.2835730619838234,181.0626837309819,1.0626837309818882,18.893417077882134,18.893417077882134,34.53761490502081,34.53761490502081,0.7292759585541327,0.7292759585541327,0.9483349741002716,0.2970532367818862,0.22164831105723076,299.24633239812573,66.32744416611524,0.6469969117555847,
42,23,1.938541,0.392537,0.003199,0.2606004669021117,178.97999908583176,358.97999908583176,19.96697380190086,19.96697380190086,32.9414209340527,32.9414209340527,0.6581731271587777,0.6581731271587777,0.9488967338705488,0.2888565260789013,0.22570598214060536,280.7316276368755,63.36280773371169,0.6038022775087883,
43,23,1.865069,0.373718,,,,,,,,,,,,,,,,,nan_exist
44,23,1.635096,0.314813,0.004318,0.3517576793008185,178.97999908583176,358.97999908583176,21.57630625323226,21.57630625323226,22.18775429494608,22.18775429494608,0.41024785204309216,0.41024785204309216,0.8985896499610566,0.24341054095246786,0.2027028289516855,210.28688723619092,42.62574693421999,0.465725389727697,
45,23,1.247516,0.215539,0.001038,0.0845587010454492,176.98046101122364,356.9804610112236,20.500843698276213,20.500843698276213,15.3073477292698,15.3073477292698,0.29787789711923246,0.29787789711923246,0.8725210970680839,0.22112499715333286,0.17537396994862609,166.85491854292331,29.262009470327087,0.3822025252016562,
46,23,1.21679,0.207669,0.001352,0.1101381154272132,176.98046101122364,356.9804610112236,26.594282579485846,26.594282579485846,12.211975088995164,12.211975088995164,0.18319250296179296,0.18319250296179296,0.7283164139418609,0.14415383437926002,0.14524118442433565,160.41386883507113,23.298700307695754,0.3808754681315982,
