x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,percentage_above_baseline,max_recorded_intensity,firstmoment,D_period,secondmoment,thirdmoment,skewness,q0,deltaq0,wMu,firstmoment_lu,secondmoment_lu,thirdmoment_lu,skewness_lu,D_period_lu,peak_width,wp,peak_amplitude,fibril_radius
16,16,2.197233,0.626061,0.000117,0.017527104317068526,54.288426414647326,0.0919197504822491,0.287029,65.67125942514087,0.0824,0.023686,-1.165166,0.287,0.00625,0.0336734693877551,0.287026,0.0824,0.02368,1.8e-05,65.67789519699916,0.00625,0.009664285714285714,1,275.93003202759303
17,16,2.020168,0.564875,0.000572,0.08568806555011281,74.45732950333895,0.06600807149142529,0.289323,65.15056155763199,0.0838,0.024296,-0.802785,0.283,0.00475,0.2171428571428571,0.289321,0.0838,0.024306,1.777267,66.60620466974827,0.00475,0.06145142857142856,1,43.394705845886804
18,16,1.869476,0.512802,0.000603,0.09033199917258396,72.94581780832692,0.05805853439246733,0.288345,65.37153729573517,0.0832,0.024022,-0.458629,0.288,0.008125,0.0632653061224489,0.288346,0.0832,0.024032,0.001403,65.44984694978736,0.008125,0.018220408163265284,1,146.35603345280782
19,16,1.873324,0.514132,0.0,1e-09,33.838393657694986,0.05290903866754615,0.283461,66.49788126598988,0.0804,0.022838,-0.166517,0.281,0.0085,0.140204081632653,0.28346,0.0804,0.022849,0.163361,67.08027018341195,0.0085,0.039397346938775495,1,67.68645286726378
20,16,1.937233,0.536216,0.000569,0.08523865261890591,80.59851157050139,0.05696886709661264,0.286215,65.85802952863672,0.082,0.023512,-0.258906,0.286,0.0085,0.0573469387755102,0.286217,0.082,0.023509,0.000497,65.90753818719845,0.0085,0.016401224489795915,1,162.58948643290285
21,16,1.492708,0.382609,0.001011,0.15145215781672036,86.1383922457958,0.08713211142892918,0.286721,65.74180447730984,0.0822,0.023603,-0.466021,0.284,0.002125,0.140204081632653,0.286722,0.0822,0.023588,1.813948,66.37167578006606,0.002125,0.039817959183673445,1,66.97145512570819
22,16,1.152281,0.264972,0.0,1e-09,18.824520414444763,0.025377597204337077,0.283326,66.52956637067815,0.0803,0.022808,-0.182115,0.283,0.008125,0.0632653061224489,0.283332,0.0803,0.022802,0.001298,66.60620466974827,0.008125,0.01790408163265304,1,148.94182909685037
23,16,1.284216,0.310563,0.000319,0.04778757501833214,74.44376818660919,0.055945678028024526,0.287288,65.61205452903971,0.0826,0.02376,-0.563167,0.287,0.007375,0.0573469387755102,0.287282,0.0826,0.023757,0.001028,65.67789519699916,0.007375,0.016458571428571427,1,162.02297254289272
24,16,1.420205,0.357555,0.00103,0.15429843971436397,88.48309769597255,0.08430074184156533,0.290388,64.91162142216193,0.0844,0.024544,-0.479152,0.288,0.007,0.1342857142857142,0.290386,0.0844,0.02454,0.236507,65.44984694978736,0.007,0.03867428571428569,1,68.95193065405836
25,16,1.427866,0.360202,0.0,1e-09,27.2770352647348,0.038947352163794635,0.278421,67.7016314198238,0.0775,0.021589,-0.629486,0.278,0.00325,0.0573469387755102,0.278418,0.0775,0.021591,0.018158,67.80415799114661,0.00325,0.015942448979591836,1,167.26832057485683
26,16,1.415637,0.355976,5.6e-05,0.008389041382528526,54.42444991333989,0.04292095255346573,0.28514,66.1063194274348,0.0814,0.023254,0.529374,0.282,0.00925,0.1579591836734694,0.285143,0.0814,0.023276,0.237013,66.84239688488923,0.00925,0.044544489795918366,1,59.86524211825218
27,16,1.289651,0.312441,0.000375,0.05617661640086067,69.9168013269265,0.050979964825389024,0.286592,65.77139599688323,0.0822,0.023599,0.281373,0.284,0.006625,0.140204081632653,0.286588,0.0822,0.023588,0.319984,66.37167578006606,0.006625,0.039817959183673445,1,66.97145512570819
28,16,1.214766,0.286564,5e-05,0.007490215520114756,52.951003581946495,0.0644490030802638,0.290102,64.97561520271752,0.0842,0.024457,-0.559286,0.289,0.00625,0.0928571428571428,0.290102,0.0842,0.024451,0.045754,65.22337689113758,0.00625,0.02683571428571427,1,99.37006476798871
29,16,1.167369,0.270186,0.001973,0.29556390442372826,93.29712129543714,0.21130280591235961,0.290972,64.78133951561922,0.0847,0.024667,-0.922699,0.29,0.005875,0.086938775510204,0.29097,0.0847,0.024667,0.038193,64.99846869496125,0.005875,0.025212244897959157,1,105.76871188818747
30,16,1.366956,0.339154,0.002588,0.38769355532113975,94.60312954920903,0.3034105251261803,0.289457,65.1204010320661,0.0838,0.024272,-0.950416,0.286,0.002875,0.1579591836734694,0.289455,0.0838,0.024279,1.712227,65.90753818719845,0.002875,0.045176326530612244,1,59.02796600471019
31,16,1.710073,0.45772,0.00407,0.6097035433373411,96.60937792094371,0.4663586347988702,0.291317,64.70462047027382,0.0849,0.024745,-1.282171,0.291,0.004375,0.0514285714285714,0.291319,0.0849,0.02474,0.004012,64.77510625958337,0.004375,0.014965714285714277,1,178.1850579101439
32,16,1.854447,0.507609,0.00309,0.46289531914309184,89.61691936009626,0.3705011561271949,0.292271,64.49341851069302,0.0855,0.024995,-0.803197,0.292,0.005875,0.0514285714285714,0.292268,0.0855,0.024996,0.001339,64.55327370389986,0.005875,0.015017142857142849,1,177.57483510908176
33,16,1.997077,0.556896,0.003717,0.5568226217653309,91.94417094719577,0.3713086437544759,0.289115,65.1974332758202,0.0836,0.024198,-0.145847,0.288,0.005875,0.0928571428571428,0.289113,0.0836,0.024198,0.054793,65.44984694978736,0.005875,0.026742857142857127,1,99.71509971509977
34,16,2.39988,0.696086,0.002983,0.4468662579300463,88.05426485888663,0.4567278582941059,0.289861,65.02963807321012,0.084,0.024371,-1.812794,0.288,0.004375,0.1165306122448979,0.289864,0.084,0.024378,0.385317,65.44984694978736,0.004375,0.033560816326530594,1,79.45774145423886
35,16,2.73322,0.811273,0.005004,0.7496207692530846,96.38188817555785,0.6002873954077221,0.290257,64.94091760591049,0.0843,0.024476,-0.315488,0.288,0.00475,0.1283673469387755,0.290258,0.0843,0.024483,0.48154,65.44984694978736,0.00475,0.03696979591836734,1,72.13095448389566
36,16,3.079981,0.931098,0.006287,0.9418196994992294,94.60413027420836,0.7727218151030462,0.288558,65.32328308880281,0.0833,0.024042,-0.835524,0.288,0.002125,0.0632653061224489,0.288559,0.0833,0.024032,0.122,65.44984694978736,0.002125,0.018220408163265284,1,146.35603345280782
37,16,3.090985,0.934901,0.007887,1.0,98.15964659609074,0.9125612656002564,0.289565,65.09611286425762,0.0839,0.024297,-0.290997,0.289,0.00175,0.0632653061224489,0.289566,0.0839,0.024283,0.204661,65.22337689113758,0.00175,0.018283673469387734,1,145.84961119172544
38,16,3.023635,0.911628,0.00835,1.0,97.7116349520086,1.0236596850903505,0.289508,65.10892936132598,0.0838,0.02428,-0.96482,0.288,0.004,0.1046938775510204,0.289507,0.0838,0.024283,0.294474,65.44984694978736,0.004,0.030151836734693873,1,88.44126777849976
39,16,3.149303,0.955053,0.009018,1.0,97.59164552350701,1.1238904984787064,0.289763,65.05163158008013,0.084,0.024343,-0.742508,0.287,0.001375,0.140204081632653,0.28976,0.084,0.024343,2.275043,65.67789519699916,0.001375,0.04023857142857141,1,66.27140507212935
40,16,3.314448,1.0,0.006019,0.9016721443114143,91.0474842896939,0.8210257132024301,0.290043,64.98883241980934,0.0841,0.024418,-1.549489,0.29,0.004375,0.0277551020408163,0.290046,0.0841,0.024417,4.3e-05,64.99846869496125,0.004375,0.008048979591836727,1,331.3049357674107
41,16,2.99227,0.900789,0.000315,0.047188357776722964,57.322200723560314,0.15556373457004558,0.288637,65.305404094204,0.0834,0.024089,-1.260277,0.288,0.007,0.0751020408163265,0.288639,0.0834,0.024091,0.008375,65.44984694978736,0.007,0.02162938775510203,1,123.28904991948475
42,16,1.928101,0.53306,0.000111,0.016628278454654758,57.3281413654446,0.04016361387796974,0.290543,64.87699212006058,0.0845,0.024614,-0.132337,0.29,0.008875,0.0751020408163265,0.290544,0.0845,0.024596,0.003433,64.99846869496125,0.008875,0.021779591836734682,1,122.43878060969521
43,16,0.828328,0.153029,0.0,1e-09,17.058559046855557,0.01731749668973115,0.277626,67.89549941842176,0.0771,0.0214,-0.058609,0.277,0.00325,0.0691836734693877,0.277622,0.0771,0.021407,0.053751,68.04893834490527,0.00325,0.019163877551020395,1,139.15068386171555
44,16,0.579882,0.067177,0.0,1e-09,36.688889762483385,0.037525880394550515,0.282043,66.83220615841826,0.0796,0.022445,-0.278154,0.281,0.00175,0.086938775510204,0.282043,0.0796,0.022441,0.744715,67.08027018341195,0.00175,0.024429795918367327,1,109.1563218774888
45,16,0.477988,0.031967,0.00013,0.019474560352298362,68.44867202957435,0.02015719837336649,0.290831,64.81274665196887,0.0847,0.024671,-0.568278,0.288,0.007375,0.1461224489795918,0.290829,0.0847,0.024661,0.30771,65.44984694978736,0.007375,0.04208326530612244,1,63.36643906476309
46,16,0.475512,0.031111,0.000381,0.057075442263274434,82.01241552129181,0.032837980791871,0.289959,65.007659433019,0.0842,0.024444,0.443307,0.287,0.00925,0.1520408163265306,0.289957,0.0842,0.024469,0.206283,65.67789519699916,0.00925,0.04363571428571428,1,61.112020516178326
47,16,0.487372,0.035209,0.000347,0.0519820957095964,80.61053719830693,0.031352763087645785,0.289359,65.1424559856053,0.0838,0.024292,0.143425,0.287,0.007375,0.1342857142857142,0.289358,0.0838,0.024285,0.204588,65.67789519699916,0.007375,0.03853999999999997,1,69.19218128351501
48,16,0.549316,0.056615,5e-05,0.007490215520114756,54.79065007433752,0.028345589587666087,0.290702,64.8415075284613,0.0846,0.02464,-0.279483,0.285,0.00475,0.2053061224489795,0.290705,0.0846,0.024643,1.662216,66.13879270715356,0.00475,0.05851224489795915,1,45.574506179298496
49,16,0.518705,0.046037,0.000131,0.01962436466270066,61.64352799611497,0.028858618280522386,0.288527,65.33030157156439,0.0834,0.024109,0.305297,0.284,0.009625,0.1875510204081632,0.288525,0.0834,0.024136,0.465282,66.37167578006606,0.009625,0.05326448979591835,1,50.06462423434332
50,16,0.50767,0.042224,2e-06,0.0002996086208045902,50.20827964262793,0.0299348826778294,0.282359,66.7574113859971,0.0798,0.022567,0.876056,0.278,0.005125,0.1816326530612245,0.282356,0.0798,0.022565,1.197572,67.80415799114661,0.005125,0.050493877551020416,1,52.8116832376795
51,16,0.533235,0.051058,0.0,1e-09,10.92931575646759,0.013271022490040418,0.283097,66.58338280355765,0.0802,0.022766,0.976537,0.28,0.004375,0.1520408163265306,0.283098,0.0802,0.022721,0.953688,67.31984257692413,0.004375,0.04257142857142857,1,62.63982102908277
52,16,0.468117,0.028556,0.0,1e-09,17.452415235388948,0.014439946304428242,0.278356,67.717440692993,0.0775,0.021593,1.33331,0.277,0.001375,0.0987755102040816,0.278332,0.0775,0.021567,1.448124,68.04893834490527,0.001375,0.027360816326530604,1,97.46297898578833
0,17,1.571699,0.409904,0.001886,0.2825309294187286,92.41087498454652,0.14706441685411642,0.290015,64.99510687908818,0.0842,0.024435,-0.047765,0.29,0.006625,0.0336734693877551,0.290013,0.0842,0.02443,8e-06,64.99846869496125,0.006625,0.00976530612244898,1,273.075583420411
1,17,1.662691,0.441347,0.001711,0.25631517509832696,93.50082726254048,0.1516601816456875,0.289735,65.05791817191142,0.084,0.024354,-0.953209,0.286,0.001375,0.1638775510204081,0.289736,0.084,0.024348,2.432265,65.90753818719845,0.001375,0.04686897959183672,1,56.896196373157785
2,17,1.887722,0.519108,0.002659,0.39832966135970266,94.86373034118638,0.23469977746342852,0.29207,64.53780231293443,0.0853,0.024954,-0.635058,0.29,0.00475,0.1224489795918367,0.292066,0.0853,0.024941,0.402096,64.99846869496125,0.00475,0.03551020408163264,1,75.09578544061304
3,17,1.973594,0.548781,0.002155,0.3228282889169459,88.8503593308481,0.20585975962000158,0.290658,64.8513232786944,0.0845,0.024582,-1.23655,0.289,0.005125,0.1106122448979591,0.290658,0.0845,0.024583,0.207858,65.22337689113758,0.005125,0.03196693877551018,1,83.4195193163005
4,17,1.759391,0.474762,0.001511,0.2263543130178679,86.1015989703929,0.1531940698363674,0.291943,64.56587731693774,0.0853,0.024916,-1.622911,0.291,0.006625,0.086938775510204,0.291943,0.0853,0.024923,0.026259,64.77510625958337,0.006625,0.025299183673469363,1,105.40524552431052
5,17,1.895878,0.521926,0.002539,0.3803531441114273,90.8982425939165,0.22203618849921902,0.290874,64.80316536211129,0.0846,0.02464,-0.523737,0.289,0.004375,0.1165306122448979,0.290871,0.0846,0.024632,0.388348,65.22337689113758,0.004375,0.03367734693877549,1,79.18280117239028
