sample no,fname,ix,iy,totalint,totalcoll,region,center,rho_new,Dnew2,wa2,wdist2,Diameter2,Group,Sample,State,zone
599112,32_9.txt,9,32,0.052149,0.006132,tz,4.480993,0.351855,66.631116,0.003145,0.3,31.306613,untreated,control,unloaded,AC
599112,33_0.txt,0,33,0.044364,0.005052,tz,87.160093,0.245698,66.642651,0.003294,0.3,33.924477,untreated,control,unloaded,AC
599112,33_1.txt,1,33,0.044869,0.006428,tz,70.252301,0.300398,66.713409,0.002432,0.3,33.679216,untreated,control,unloaded,AC
599112,33_10.txt,10,33,0.047866,0.007718,tz,64.660232,0.770044,66.656409,0.002648,0.3,33.371814,untreated,control,unloaded,AC
599112,33_11.txt,11,33,0.04819,0.009191,tz,70.942528,0.64026,66.666826,0.003175,0.3,33.070254,untreated,control,unloaded,AC
599112,33_12.txt,12,33,0.04828,0.007603,tz,190,0.05773,66.795609,0.002506,0.3,31.116634,untreated,control,unloaded,AC
599112,33_2.txt,2,33,0.046089,0.006793,tz,69.647149,0.499746,66.698197,0.003316,0.3,31.345476,untreated,control,unloaded,AC
599112,33_3.txt,3,33,0.046112,0.006884,tz,99.372749,0.162707,66.673884,0.002548,0.3,32.246074,untreated,control,unloaded,AC
599112,33_4.txt,4,33,0.045503,0.007228,tz,61.465192,0.314706,66.610091,0.003073,0.3,34.83637,untreated,control,unloaded,AC
599112,33_5.txt,5,33,0.046181,0.008413,dz,83.084029,4.906864,66.735259,0.002631,5.609503,31.335202,untreated,control,unloaded,AC
599112,33_6.txt,6,33,0.047884,0.007504,tz,71.826426,0.788475,66.701502,0.002637,0.3,32.492292,untreated,control,unloaded,AC
599112,33_7.txt,7,33,0.048005,0.007964,tz,61.000967,0.313517,66.486281,0.003393,0.3,38.026026,untreated,control,unloaded,AC
599112,33_8.txt,8,33,0.049867,0.007472,tz,66.404815,0.321051,66.728431,0.002298,0.3,31.304884,untreated,control,unloaded,AC
599112,33_9.txt,9,33,0.048356,0.00679,tz,74.514801,0.721252,66.643917,0.003193,0.3,32.771994,untreated,control,unloaded,AC
599112,34_0.txt,0,34,0.042759,0.007456,dz,85.800623,4.455809,66.73811,0.002897,1.281054,34.272045,untreated,control,unloaded,AC
599112,34_1.txt,1,34,0.044429,0.007707,dz,85.078599,4.891713,66.783864,0.002729,2.645579,32.1746,untreated,control,unloaded,AC
599112,34_10.txt,10,34,0.050611,0.008719,dz,80.080111,4.828251,66.771991,0.002103,1.731085,31.661298,untreated,control,unloaded,AC
599112,34_11.txt,11,34,0.046455,0.007621,dz,82.157173,4.642421,66.794147,0.002487,1.258708,31.976178,untreated,control,unloaded,AC
599112,34_12.txt,12,34,0.046165,0.009076,dz,81.068017,4.551849,66.706984,0.00266,1.399015,34.619649,untreated,control,unloaded,AC
599112,34_2.txt,2,34,0.043644,0.007849,dz,83.877934,4.42554,66.748251,0.002644,3.588562,31.573417,untreated,control,unloaded,AC
599112,34_3.txt,3,34,0.044081,0.007837,dz,83.131298,4.639634,66.681761,0.00258,1.382103,33.995484,untreated,control,unloaded,AC
599112,34_4.txt,4,34,0.043305,0.008514,dz,80.662272,4.642696,66.738903,0.002824,1.483163,33.554109,untreated,control,unloaded,AC
599112,34_5.txt,5,34,0.0453,0.008616,dz,82.041479,3.965836,66.776329,0.002585,1.48316,32.332589,untreated,control,unloaded,AC
599112,34_6.txt,6,34,0.047874,0.008939,dz,82.774875,4.663791,66.659348,0.002978,1.315845,35.464527,untreated,control,unloaded,AC
599112,34_7.txt,7,34,0.046216,0.007673,dz,83.413898,4.488857,66.754348,0.002334,1.523274,31.877977,untreated,control,unloaded,AC
599112,34_8.txt,8,34,0.047636,0.008985,dz,81.200004,4.271467,66.763156,0.002456,1.483156,32.307914,untreated,control,unloaded,AC
599112,34_9.txt,9,34,0.048081,0.008839,dz,81.462244,5.027199,66.769623,0.002548,1.368593,32.738628,untreated,control,unloaded,AC
599112,35_0.txt,0,35,0.042652,0.0091,dz,83.062064,4.85936,66.739705,0.003159,1.809609,34.010601,untreated,control,unloaded,AC
599112,35_1.txt,1,35,0.043765,0.008138,dz,83.990209,5.53984,66.858425,0.002436,1.02843,31.555667,untreated,control,unloaded,AC
599112,35_10.txt,10,35,0.047719,0.010298,dz,81.395855,5.236644,66.755954,0.002388,1.028425,33.838757,untreated,control,unloaded,AC
599112,35_11.txt,11,35,0.046843,0.010423,dz,81.214015,5.399367,66.854229,0.002319,1.129477,32.233665,untreated,control,unloaded,AC
599112,35_12.txt,12,35,0.046029,0.009241,dz,81.938343,4.982253,66.779169,0.002738,1.078758,34.560668,untreated,control,unloaded,AC
599112,35_2.txt,2,35,0.044274,0.011188,dz,83.736438,5.491956,66.810746,0.002514,1.281056,32.892063,untreated,control,unloaded,AC
599112,35_3.txt,3,35,0.043557,0.009909,dz,82.777565,4.970203,66.765719,0.002387,1.090336,34.460714,untreated,control,unloaded,AC
599112,35_4.txt,4,35,0.04378,0.009522,dz,81.891188,5.248041,66.832705,0.002442,1.281055,32.561918,untreated,control,unloaded,AC
599112,35_5.txt,5,35,0.045455,0.009275,dz,82.249941,5.140881,66.766634,0.002694,1.179997,34.660912,untreated,control,unloaded,AC
